donor_id,received_date,check_date,paid_out_date,gross_amount,processing_fee,net_amount,campus,campus_imputed,payment_method,week_end_sunday,
96005434,2025-05-13,,2025-05-15,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-18,
25198069,2025-05-12,,2025-05-15,30.97,-0.97,30,Bucks County Community Church,TRUE,Electronic,2025-05-18,
9011838,2025-05-12,,2025-05-22,33.3,-0.3,33,Bucks County Community Church,FALSE,Electronic,2025-05-18,
25197984,2025-05-12,,2025-05-22,325.3,-0.3,325,Bucks County Community Church,FALSE,Electronic,2025-05-18,
142658659,2025-05-12,,2025-05-22,80,-0.3,79.7,Bucks County Community Church,TRUE,Electronic,2025-05-18,
142658659,2025-05-12,,2025-05-22,300.3,-0.3,300,Bucks County Community Church,TRUE,Electronic,2025-05-18,
166249166,2025-05-11,,2025-05-15,15.64,-0.64,15,Bucks County Community Church,TRUE,Electronic,2025-05-11,
95944356,2025-05-11,,2025-05-15,61.62,-1.62,60,Bucks County Community Church,TRUE,Electronic,2025-05-11,
169037534,2025-05-11,,2025-05-15,15.64,-0.64,15,Bucks County Community Church,TRUE,Electronic,2025-05-11,
167623864,2025-05-11,,2025-05-15,100,-2.45,97.55,Bucks County Community Church,TRUE,Electronic,2025-05-11,
13151152,2025-05-11,,2025-05-15,900,-0.3,899.7,Bucks County Community Church,FALSE,Electronic,2025-05-11,
142658644,2025-05-11,,2025-05-15,100.3,-0.3,100,Bucks County Community Church,TRUE,Electronic,2025-05-11,
132567000,2025-05-11,,2025-05-15,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-11,
142658549,2025-05-11,,2025-05-15,50,-1.38,48.62,Bucks County Community Church,TRUE,Electronic,2025-05-11,
159909209,2025-05-11,,2025-05-15,25.86,-0.86,25,Bucks County Community Church,TRUE,Electronic,2025-05-11,
156859780,2025-05-11,,2025-05-15,175,-0.3,174.7,Bucks County Community Church,FALSE,Electronic,2025-05-11,
142719519,2025-05-11,,2025-05-15,102.5,-2.5,100,Bucks County Community Church,FALSE,Electronic,2025-05-11,
